,ensembl_gene_id,external_gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
9672,ENSMUSG00000034394,Lif,24.9611127,-3.543405037,1.311087721,-2.702645277,0.006879012,0.239215205
27228,ENSMUSG00000085208,Brip1os,312.0557849,0.648673032,0.239903196,2.70389492,0.006853196,0.239215205
27578,ENSMUSG00000085636,Gm11769,14.04303064,-2.018536669,0.746543161,-2.703844565,0.006854234,0.239215205
649,ENSMUSG00000003923,Tfam,164.8650108,0.7146624,0.264825493,2.698616334,0.00696284,0.240968539
6356,ENSMUSG00000027867,Spag17,9.239930709,-4.212330009,1.560796022,-2.698834409,0.006958279,0.240968539
11149,ENSMUSG00000038482,Tfdp1,171.7255465,1.027102896,0.380707212,2.697881373,0.00697823,0.240968539
2743,ENSMUSG00000020801,Med31,17.47974993,-1.069204972,0.39652473,-2.696439567,0.007008511,0.241451366
12254,ENSMUSG00000041431,Ccnb1,12.58085976,3.789366621,1.406555663,2.694075123,0.007058425,0.242045171
20246,ENSMUSG00000071866,Ppia,1541.235959,0.397639988,0.147579975,2.69440341,0.007051476,0.242045171
6560,ENSMUSG00000028212,Ccne2,34.85138832,5.137034202,1.908774524,2.691273452,0.007117982,0.243523768
11820,ENSMUSG00000040183,Ankrd6,7.106776527,-2.707330978,1.006726843,-2.689240876,0.007161472,0.24444712
6087,ENSMUSG00000027379,Bub1,21.65274678,3.918345517,1.459444784,2.684819295,0.007256903,0.247135084
